T,CXPPM_1,CXPPM_4,CXPPM_6,CXPPM_8
0,0,NA,NA,NA
1.04,27,NA,NA,NA
1.17,23,NA,NA,NA
1.25,21,NA,NA,NA
1.33,16,NA,NA,NA
2,10.5,NA,NA,NA
2.07,11.5,NA,NA,NA
2.13,9.5,NA,NA,NA
3.17,7,NA,NA,NA
3.23,6.5,NA,NA,NA
0,NA,0,NA,NA
4.08,NA,45,NA,NA
4.17,NA,36,NA,NA
4.25,NA,35,NA,NA
4.42,NA,28.5,NA,NA
5,NA,17.5,NA,NA
5.5,NA,13,NA,NA
5.87,NA,11,NA,NA
6.3,NA,10,NA,NA
6.37,NA,8,NA,NA
6.63,NA,8.5,NA,NA
0,NA,NA,0,NA
6.08,NA,NA,48,NA
6.17,NA,NA,39,NA
6.25,NA,NA,33,NA
6.47,NA,NA,32,NA
6.63,NA,NA,25.5,NA
6.83,NA,NA,24,NA
7.03,NA,NA,21,NA
7.17,NA,NA,19.5,NA
7.75,NA,NA,16,NA
8.33,NA,NA,13,NA
9.25,NA,NA,12,NA
0,NA,NA,NA,0
8.38,NA,NA,NA,38
8.4,NA,NA,NA,42
8.5,NA,NA,NA,41
8.6,NA,NA,NA,36
8.7,NA,NA,NA,35.5
8.78,NA,NA,NA,31
8.8,NA,NA,NA,34
8.87,NA,NA,NA,27.5
8.97,NA,NA,NA,33.5
9,NA,NA,NA,35.5
9.03,NA,NA,NA,31
9.13,NA,NA,NA,30.5
9.2,NA,NA,NA,25
9.37,NA,NA,NA,27.5
9.37,NA,NA,NA,28
9.4,NA,NA,NA,22
9.5,NA,NA,NA,26
9.68,NA,NA,NA,26
9.7,NA,NA,NA,22
9.73,NA,NA,NA,24
9.83,NA,NA,NA,22
10,NA,NA,NA,19.5
10,NA,NA,NA,24.5
10,NA,NA,NA,19
